"State","rapesPer100k","totalRapes"
"Alaska","0.0016","1192"
"Michigan","0.0008","7690"
"Nevada","0.0007","2329"
"Arkansas","0.0007","2196"
"Colorado","0.0007","4070"
"South Dakota","0.0007","614"
"New Mexico","0.0006","1354"
"Nebraska","0.0006","1223"
"Oklahoma","0.0006","2299"
"Kansas","0.0005","1567"
"Utah","0.0005","1753"
"North Dakota","0.0005","397"
"Montana","0.0005","551"
"Texas","0.0005","14693"
"Arizona","0.0005","3638"
"Missouri","0.0005","2912"
"Illinois","0.0005","5859"
"South Carolina","0.0005","2434"
"Vermont","0.0005","287"
"Oregon","0.0005","1975"
"Rhode Island","0.0005","481"
"Ohio","0.0005","5300"
"Louisiana","0.0005","2085"
"Hawaii","0.0004","625"
"Washington","0.0004","3413"
"Minnesota","0.0004","2462"
"Idaho","0.0004","791"
"Wyoming","0.0004","243"
"Tennessee","0.0004","2821"
"Alabama","0.0004","1996"
"California","0.0004","15505"
"New Hampshire","0.0004","534"
"Florida","0.0004","8438"
"Wisconsin","0.0004","2248"
"Kentucky","0.0004","1707"
"West Virginia","0.0004","652"
"Pennsylvania","0.0004","4483"
"Massachusetts","0.0003","2410"
"Indiana","0.0003","2370"
"Delaware","0.0003","338"
"New York","0.0003","6575"
"Virginia","0.0003","2924"
"Maine","0.0003","446"
"Maryland","0.0003","1979"
"Iowa","0.0003","976"
"North Carolina","0.0002","2633"
"Georgia","0.0002","2651"
"Connecticut","0.0002","840"
"Mississippi","0.0002","537"
"New Jersey","0.0002","1424"
