State,Median Household Income
Alaska,74346
California,75277
Oregon,63426
Washington,74073
Nevada,58646
Idaho,55583
Arizona,59246
Utah,71414
New Mexico,47169
Colorado,71953
Wyoming,61548
Montana,55328
Texas,60629
Oklahoma,51924
Kansas ,58218
Nebraska,59556
South Dakota,56274
North Dakota,63837
Louisiana,47905
Arkansas,47062
Missouri,54478
Iowa,59955
Minnesota,70315
Mississippi,44717
Tennessee,52375
Kentucky,50247
Illinois,65030
Wisconsin,60773
Michigan,56697
Alabama,49861
Indiana,55746
Florida,55462
Georgia,58756
West Virginia,44097
Ohio,56111
South Carolina,52306
North Carolina,53855
Virginia,72577
Maryland,83242
Delware ,64805
Pennsylvania,60905
New Jersey,81740
New York,67844
Connecticut,76348
Rhode Island,64340
Massachusetts,79835
Vermont,60782
New Hampshire,74991
Maine,55602
Hawaii,80212
