State,Average Household Income
Alabama,78871.29
Alaska,100086.45
Arizona,96364.72
Arkansas,77637.36
California,111632.93
Colorado,107936.13
Connecticut,117303.22
Delware,102639.68
District of Columbia,134385.32
Florida,85581.31
Georgia,84224.69
Hawaii,105978.87
Idaho,91721.86
Illinois,103958.5
Indiana,87139.09
Iowa,86536.71
Kansas,96719.61
Kentucky,87474.11
Louisiana,78124.94
Maine,84312.62
Maryland,125053.4
Massachusetts,127460.73
Michigan,92073.46
Minnesota,104195.36
Mississippi,65648.61
Missouri,83396.09
Montana,81638.21
Nebraska,93878.49
Nevada,92457.31
New Hampshire,114680.66
New Jersey,119305.58
New Mexico,71531.93
New York,105571.94
North Carolina,84727.74
North Dakota,90647.13
Ohio,90396.68
Oklahoma,84974.15
Oregon,107795.68
Pennsylvania,99681.52
Rhode Island,98980.03
South Carolina,83649.63
South Dakota,53574.96
Tennessee,81911.63
Texas,98362.04
Utah,112799.7
Vermont,95683.34
Virginia,114127.44
Washington,110680.46
West Virginia,72857.68
Wisconsin,90695.26
Wyoming,84500.23
