"State","percWomen","percMen"
"Michigan","41.8000","23"
"West Virginia","41.2000","33.6000"
"Oklahoma","40.7000","49.1000"
"Missouri","40.4000","36.1000"
"Georgia","39.9000","35.1000"
"New Hampshire","37.8000","40.4000"
"Delaware","36.7000","34.9000"
"Wyoming","35.8000","35.8000"
"Arkansas","35.6000","33.7000"
"Texas","35.1000","34.5000"
"Connecticut","33.9000","32.9000"
"Oregon","33.6000","37.3000"
"New York","33.5000","32.3000"
"Idaho","33.3000","29.3000"
"Montana","32.6000","39.2000"
"Tennessee","32.5000","40"
"Iowa","31.3000","19.6000"
"Kentucky","31","37.5000"
"Nevada","30.9000","48.1000"
"South Dakota","30.2000","33.7000"
"Ohio","30","35.6000"
"New Jersey","29.3000","26.2000"
"New Mexico","29.1000","34.4000"
"Colorado","28.6000","32.7000"
"Louisiana","28.4000","33.4000"
"Washington","28.3000","42.6000"
"California","27.3000","32.9000"
"Maryland","27.2000","42.1000"
"Arizona","27.1000","36.5000"
"Alabama","26.9000","31"
"Indiana","26.8000","40.4000"
"Maine","26.7000","36.6000"
"North Dakota","26.1000","25.3000"
"Nebraska","26.1000","38.5000"
"Mississippi","25.8000","40.1000"
"Illinois","25.7000","37.7000"
"Florida","24.6000","34.2000"
"Minnesota","23.5000","33.7000"
"Wisconsin","23","32.4000"
"Kansas","23","29"
"Virginia","22.1000","31.3000"
"Hawaii","21.8000","35.7000"
"Utah","19.6000","36.9000"
"Rhode Island","19.3000","29.9000"
"Pennsylvania","19.3000","29.9000"
"North Carolina","19.3000","43.9000"
"Massachusetts","19.2000","31.7000"
"South Carolina","17.4000","41.5000"
"Vermont","","33.6000"
"Alaska","","50"
